ref_month,year,month,fuel,value
2020-06-01,2020,6,gas,0.4238915398844563
2020-07-01,2020,7,electricity,0.7628357954787347
2020-07-01,2020,7,gas,0.4229498867449727
2020-08-01,2020,8,electricity,0.7760512012715172
2020-08-01,2020,8,gas,0.4148080179341494
2020-09-01,2020,9,electricity,0.7959931599188271
2020-09-01,2020,9,gas,0.4728569728677904
2020-10-01,2020,10,electricity,0.8985730909503739
2020-10-01,2020,10,gas,0.7130628363368877
2020-11-01,2020,11,electricity,0.9217044857876736
2020-11-01,2020,11,gas,0.7897938332165679
2020-12-01,2020,12,electricity,1
2020-12-01,2020,12,gas,1
2021-01-01,2021,1,electricity,1
2021-01-01,2021,1,gas,1
2021-02-01,2021,2,electricity,0.8895393583512677
2021-02-01,2021,2,gas,0.8106792624432424
2021-03-01,2021,3,electricity,0.9323753260265382
2021-03-01,2021,3,gas,0.7819129035870084
2021-04-01,2021,4,electricity,0.8611376366460954
2021-04-01,2021,4,gas,0.6967702984641471
2021-05-01,2021,5,electricity,0.8438778273448968
2021-05-01,2021,5,gas,0.5737006035095417
2021-06-01,2021,6,electricity,0.7704844433675868
2021-06-01,2021,6,gas,0.34513369301679364
2021-07-01,2021,7,electricity,0.8052321023901486
2021-07-01,2021,7,gas,0.3280060876539909
2021-08-01,2021,8,electricity,0.7932777959893391
2021-08-01,2021,8,gas,0.31931372212967346
2021-09-01,2021,9,electricity,0.8015335718256061
2021-09-01,2021,9,gas,0.35684502304579224
2021-10-01,2021,10,electricity,0.8583263258412552
2021-10-01,2021,10,gas,0.4929701764368486
2021-11-01,2021,11,electricity,0.9457905163690264
2021-11-01,2021,11,gas,0.7286792944354179
2021-12-01,2021,12,electricity,0.9868128500776763
2021-12-01,2021,12,gas,0.7897589389566437
